semana_epi,edad_5_14
2009-12-27,2327
2010-01-03,22076
2010-01-10,13237
2010-01-17,6910
2010-01-24,7341
2010-01-31,12398
2010-02-07,23777
2010-02-14,6726
2010-02-21,5958
2010-02-28,12242
2010-03-07,24020
2010-03-14,12531
2010-03-21,16894
2010-03-28,12929
2010-04-04,28092
2010-04-11,17227
2010-04-18,18347
2010-04-25,18568
2010-05-02,17002
2010-05-09,26634
2010-05-16,21364
2010-05-23,21766
2010-05-30,15562
2010-06-06,27378
2010-06-13,21216
2010-06-20,22174
2010-06-27,19345
2010-07-04,27167
2010-07-11,18283
2010-07-18,13947
2010-07-25,14019
2010-08-01,14574
2010-08-08,31638
2010-08-15,54930
2010-08-22,60767
2010-08-29,34059
2010-09-05,28122
2010-09-12,34267
2010-09-19,35956
2010-09-26,24212
2010-10-03,24035
2010-10-10,19856
2010-10-17,22465
2010-10-24,21286
2010-10-31,13756
2010-11-07,26085
2010-11-14,19697
2010-11-21,19420
2010-11-28,15023
2010-12-05,28740
2010-12-12,14020
2010-12-19,11235
2010-12-26,11024
2011-01-02,16902
2011-01-09,15042
2011-01-16,10080
2011-01-23,10134
2011-01-30,13223
2011-02-06,20098
2011-02-13,8724
2011-02-20,8040
2011-02-27,13206
2011-03-06,20429
2011-03-13,21096
2011-03-20,22384
2011-03-27,18150
2011-04-03,19374
2011-04-10,16896
2011-04-17,17487
2011-04-24,19635
2011-05-01,16842
2011-05-08,20456
2011-05-15,26320
2011-05-22,28285
2011-05-29,20872
2011-06-05,20957
2011-06-12,23221
2011-06-19,23402
2011-06-26,19824
2011-07-03,18484
2011-07-10,15769
2011-07-17,13907
2011-07-24,13625
2011-07-31,15590
2011-08-07,19553
2011-08-14,22805
2011-08-21,21902
2011-08-28,18644
2011-09-04,21120
2011-09-11,17159
2011-09-18,20465
2011-09-25,19916
2011-10-02,17973
2011-10-09,19266
2011-10-16,21219
2011-10-23,20758
2011-10-30,15295
2011-11-06,20764
2011-11-13,19399
2011-11-20,19359
2011-11-27,16658
2011-12-04,21843
2011-12-11,14550
2011-12-18,12353
2011-12-25,11246
2012-01-01,10949
2012-01-08,10016
2012-01-15,9196
2012-01-22,8801
2012-01-29,8380
2012-02-05,8363
2012-02-12,7957
2012-02-19,7969
2012-02-26,7575
2012-03-04,9343
2012-03-11,17774
2012-03-18,21977
2012-03-25,20389
2012-04-01,17854
2012-04-08,18430
2012-04-15,20144
2012-04-22,19959
2012-04-29,19684
2012-05-06,19361
2012-05-13,24071
2012-05-20,27176
2012-05-27,27901
2012-06-03,31677
2012-06-10,34556
2012-06-17,36374
2012-06-24,35180
2012-07-01,28091
2012-07-08,22569
2012-07-15,18138
2012-07-22,14589
2012-07-29,16251
2012-08-05,23335
2012-08-12,28152
2012-08-19,27034
2012-08-26,28184
2012-09-02,27533
2012-09-09,26389
2012-09-16,22698
2012-09-23,20457
2012-09-30,21960
2012-10-07,26014
2012-10-14,27758
2012-10-21,25020
2012-10-28,23323
2012-11-04,23732
2012-11-11,24925
2012-11-18,24124
2012-11-25,22655
2012-12-02,20692
2012-12-09,18161
2012-12-16,14423
2012-12-23,12254
2012-12-30,13043
2013-01-06,25384
2013-01-13,9911
2013-01-20,9404
2013-01-27,9317
2013-02-03,22456
2013-02-10,15093
2013-02-17,9804
2013-02-24,9615
2013-03-03,22192
2013-03-10,24461
2013-03-17,27964
2013-03-24,21848
2013-03-31,17130
2013-04-07,22447
2013-04-14,22014
2013-04-21,22947
2013-04-28,17565
2013-05-05,24517
2013-05-12,27241
2013-05-19,29960
2013-05-26,22514
2013-06-02,20600
2013-06-09,24105
2013-06-16,32856
2013-06-23,29861
2013-06-30,19268
2013-07-07,23254
2013-07-14,17055
2013-07-21,15192
2013-07-28,14688
2013-08-04,26221
2013-08-11,25667
2013-08-18,30353
2013-08-25,29245
2013-09-01,18957
2013-09-08,23174
2013-09-15,19795
2013-09-22,22745
2013-09-29,18483
2013-10-06,25477
2013-10-13,26503
2013-10-20,25251
2013-10-27,19513
2013-11-03,23261
2013-11-10,20997
2013-11-17,22021
2013-11-24,21179
2013-12-01,19303
2013-12-08,22715
2013-12-15,14466
2013-12-22,12220
2013-12-29,11177
2014-01-05,23455
2014-01-12,11075
2014-01-19,9217
2014-01-26,9073
2014-02-02,18316
2014-02-09,16227
2014-02-16,8035
2014-02-23,8276
2014-03-02,17328
2014-03-09,20861
2014-03-16,24876
2014-03-23,19956
2014-03-30,14412
2014-04-06,21870
2014-04-13,17082
2014-04-20,18686
2014-04-27,13975
2014-05-04,23038
2014-05-11,18453
2014-05-18,22498
2014-05-25,24774
2014-06-01,17895
2014-06-08,21806
2014-06-15,34886
2014-06-22,39930
2014-06-29,23822
2014-07-06,23967
2014-07-13,20896
2014-07-20,12260
2014-07-27,11798
2014-08-03,21758
2014-08-10,20913
2014-08-17,24460
2014-08-24,24921
2014-08-31,18152
2014-09-07,21879
2014-09-14,18723
2014-09-21,21959
2014-09-28,19022
2014-10-05,22344
2014-10-12,23382
2014-10-19,22611
2014-10-26,19299
2014-11-02,18690
2014-11-09,18215
2014-11-16,18187
2014-11-23,17376
2014-11-30,16816
2014-12-07,21683
2014-12-14,13481
2014-12-21,11406
2014-12-28,10168
2015-01-04,9989
2015-01-11,9076
2015-01-18,8730
2015-01-25,8300
2015-02-01,8437
2015-02-08,8619
2015-02-15,8948
2015-02-22,8460
2015-03-01,9241
2015-03-08,17275
2015-03-15,25004
2015-03-22,20209
2015-03-29,17969
2015-04-05,18440
2015-04-12,20417
2015-04-19,24570
2015-04-26,24778
2015-05-03,25174
2015-05-10,24564
2015-05-17,22564
2015-05-24,22881
2015-05-31,20473
2015-06-07,20295
2015-06-14,21706
2015-06-21,22432
2015-06-28,21808
2015-07-05,18984
2015-07-12,15691
2015-07-19,12679
2015-07-26,15527
2015-08-02,23464
2015-08-09,36019
2015-08-16,45095
2015-08-23,42727
2015-08-30,38460
2015-09-06,33626
2015-09-13,29507
2015-09-20,30671
2015-09-27,29881
2015-10-04,31103
2015-10-11,29385
2015-10-18,27060
2015-10-25,26702
2015-11-01,27292
2015-11-08,26520
2015-11-15,26392
2015-11-22,24365
2015-11-29,22216
2015-12-06,18595
2015-12-13,14910
2015-12-20,12651
2015-12-27,11578
2016-01-03,11188
2016-01-10,9396
2016-01-17,9343
2016-01-24,9145
2016-01-31,8156
2016-02-07,8830
2016-02-14,8785
2016-02-21,8535
2016-02-28,8449
2016-03-06,14947
2016-03-13,25209
2016-03-20,22277
2016-03-27,18428
2016-04-03,17936
2016-04-10,18749
2016-04-17,17536
2016-04-24,21236
2016-05-01,21715
2016-05-08,22646
2016-05-15,23169
2016-05-22,25112
2016-05-29,24671
2016-06-05,29373
2016-06-12,31765
2016-06-19,35664
2016-06-26,36269
2016-07-03,32358
2016-07-10,23793
2016-07-17,17422
2016-07-24,19450
2016-07-31,25552
2016-08-07,33477
2016-08-14,35757
2016-08-21,34315
2016-08-28,33770
2016-09-04,32639
2016-09-11,27246
2016-09-18,25610
2016-09-25,23599
2016-10-02,24043
2016-10-09,23221
2016-10-16,22255
2016-10-23,20114
2016-10-30,16873
2016-11-06,15698
2016-11-13,16508
2016-11-20,16833
2016-11-27,15666
2016-12-04,14403
2016-12-11,11582
2016-12-18,9898
2016-12-25,8769
2017-01-01,8352
2017-01-08,8057
2017-01-15,8135
2017-01-22,8116
2017-01-29,8192
2017-02-05,7812
2017-02-12,7353
2017-02-19,7090
2017-02-26,6931
2017-03-05,10370
2017-03-12,22940
2017-03-19,23988
2017-03-26,19515
2017-04-02,20029
2017-04-09,20995
2017-04-16,18977
2017-04-23,19751
2017-04-30,23590
2017-05-07,25136
2017-05-14,31654
2017-05-21,40117
2017-05-28,42825
2017-06-04,44247
2017-06-11,41001
2017-06-18,38567
2017-06-25,33224
2017-07-02,23302
2017-07-09,17421
2017-07-16,11897
2017-07-23,12546
2017-07-30,16693
2017-08-06,23545
2017-08-13,26314
2017-08-20,25141
2017-08-27,25938
2017-09-03,26791
2017-09-10,23856
2017-09-17,21229
2017-09-24,19705
2017-10-01,20195
2017-10-08,21758
2017-10-15,20816
2017-10-22,21876
2017-10-29,20708
2017-11-05,19783
2017-11-12,20015
2017-11-19,19436
2017-11-26,18231
2017-12-03,16141
2017-12-10,13641
2017-12-17,11005
2017-12-24,10024
2017-12-31,8682
2018-01-07,7836
2018-01-14,7560
2018-01-21,7241
2018-01-28,6867
2018-02-04,6817
2018-02-11,7507
2018-02-18,7637
2018-02-25,7985
2018-03-04,12095
2018-03-11,28978
2018-03-18,30440
2018-03-25,19580
2018-04-01,15891
2018-04-08,16303
2018-04-15,17509
2018-04-22,18989
2018-04-29,17956
2018-05-06,17990
2018-05-13,21271
2018-05-20,23404
2018-05-27,20924
2018-06-03,23456
2018-06-10,24581
2018-06-17,27704
2018-06-24,31098
2018-07-01,27666
2018-07-08,22203
2018-07-15,17171
2018-07-22,13544
2018-07-29,16859
2018-08-05,24852
2018-08-12,32076
2018-08-19,31023
2018-08-26,29153
2018-09-02,27779
2018-09-09,24403
2018-09-16,18767
2018-09-23,17573
2018-09-30,18988
2018-10-07,21987
2018-10-14,21885
2018-10-21,21425
2018-10-28,19322
2018-11-04,18834
2018-11-11,18872
2018-11-18,19520
2018-11-25,19400
2018-12-02,17491
2018-12-09,14763
2018-12-16,11753
2018-12-23,9895
2018-12-30,8465
2019-01-06,7480
2019-01-13,6356
2019-01-20,6315
2019-01-27,6141
2019-02-03,6164
2019-02-10,6321
2019-02-17,5941
2019-02-24,5959
2019-03-03,7883
2019-03-10,19091
2019-03-17,26541
2019-03-24,20762
2019-03-31,17779
2019-04-07,18082
2019-04-14,19731
2019-04-21,23059
2019-04-28,25756
2019-05-05,28567
2019-05-12,39703
2019-05-19,39008
2019-05-26,36676
2019-06-02,39715
2019-06-09,37915
2019-06-16,36225
2019-06-23,32364
2019-06-30,30969
2019-07-07,24590
2019-07-14,17957
2019-07-21,11902
2019-07-28,14490
2019-08-04,24125
2019-08-11,34768
2019-08-18,35576
2019-08-25,35266
2019-09-01,35061
2019-09-08,32715
2019-09-15,24135
2019-09-22,21247
2019-09-29,22217
2019-10-06,26251
2019-10-13,24693
2019-10-20,13644
2019-10-27,10731
2019-11-03,10124
2019-11-10,9169
2019-11-17,10523
2019-11-24,11757
2019-12-01,12922
2019-12-08,11902
2019-12-15,9629
2019-12-22,7962
2019-12-29,7621
2020-01-05,6835
2020-01-12,5856
2020-01-19,5926
2020-01-26,6309
2020-02-02,5966
2020-02-09,5800
2020-02-16,5991
2020-02-23,6002
2020-03-01,7252
2020-03-08,17474
2020-03-15,14030
2020-03-22,3324
2020-03-29,2031
2020-04-05,1639
2020-04-12,1388
2020-04-19,1260
2020-04-26,1304
2020-05-03,1221
2020-05-10,1208
2020-05-17,1071
2020-05-24,990
2020-05-31,796
2020-06-07,698
2020-06-14,669
2020-06-21,574
2020-06-28,592
2020-07-05,633
2020-07-12,672
2020-07-19,694
2020-07-26,697
2020-08-02,841
2020-08-09,773
2020-08-16,919
2020-08-23,1014
2020-08-30,1097
2020-09-06,1184
2020-09-13,1169
2020-09-20,1529
2020-09-27,1303
2020-10-04,1392
2020-10-11,1423
2020-10-18,1540
2020-10-25,1673
2020-11-01,1819
2020-11-08,1890
2020-11-15,1934
2020-11-22,2030
2020-11-29,2126
2020-12-06,2129
2020-12-13,1910
2020-12-20,1792
2020-12-27,2109
2021-01-03,2169
2021-01-10,1832
2021-01-17,1698
2021-01-24,1563
2021-01-31,1494
2021-02-07,1479
2021-02-14,1714
2021-02-21,2169
2021-02-28,2634
2021-03-07,2985
2021-03-14,2909
2021-03-21,2899
2021-03-28,2398
2021-04-04,2193
2021-04-11,2059
2021-04-18,1804
2021-04-25,1810
2021-05-02,1852
2021-05-09,2249
2021-05-16,2776
2021-05-23,3065
2021-05-30,3061
2021-06-06,3110
2021-06-13,3202
2021-06-20,3088
2021-06-27,3142
2021-07-04,2880
2021-07-11,2798
2021-07-18,3143
2021-07-25,3392
2021-08-01,3458
2021-08-08,3834
2021-08-15,3811
2021-08-22,3922
2021-08-29,3790
2021-09-05,4001
2021-09-12,3682
2021-09-19,5213
2021-09-26,4897
2021-10-03,5187
2021-10-10,5399
2021-10-17,6059
2021-10-24,6364
2021-10-31,6707
2021-11-07,7039
2021-11-14,7167
2021-11-21,6462
2021-11-28,6292
2021-12-05,5706
2021-12-12,5372
2021-12-19,5750
2021-12-26,7155
2022-01-02,8568
2022-01-09,8196
2022-01-16,8078
2022-01-23,8388
2022-01-30,8246
2022-02-06,7943
2022-02-13,6724
2022-02-20,5591
2022-02-27,5462
2022-03-06,11171
2022-03-13,22996
2022-03-20,26305
2022-03-27,20607
2022-04-03,17478
2022-04-10,16861
2022-04-17,21287
2022-04-24,21710
2022-05-01,26330
2022-05-08,28619
2022-05-15,34405
2022-05-22,33812
2022-05-29,34266
2022-06-05,35106
2022-06-12,34226
2022-06-19,28672
2022-06-26,19078
2022-07-03,12695
2022-07-10,8705
2022-07-17,8196
2022-07-24,12687
2022-07-31,19416
2022-08-07,31372
2022-08-14,32248
2022-08-21,29566
2022-08-28,27611
2022-09-04,25584
2022-09-11,21250
2022-09-18,21809
2022-09-25,22850
2022-10-02,29021
2022-10-09,39454
2022-10-16,46052
2022-10-23,51525
2022-10-30,47063
2022-11-06,44124
2022-11-13,45525
2022-11-20,40046
2022-11-27,33162
2022-12-04,25401
2022-12-11,17648
2022-12-18,13253
2022-12-25,10757
2023-01-01,9252
2023-01-08,8089
2023-01-15,7295
2023-01-22,6964
2023-01-29,6922
2023-02-05,7313
2023-02-12,8049
2023-02-19,8338
2023-02-26,9506
2023-03-05,21807
2023-03-12,44405
2023-03-19,35980
2023-03-26,30730
2023-04-02,29699
2023-04-09,33639
2023-04-16,41140
2023-04-23,49554
2023-04-30,52175
2023-05-07,50582
2023-05-14,59326
2023-05-21,56199
2023-05-28,52174
2023-06-04,41146
2023-06-11,34071
2023-06-18,24833
2023-06-25,16324
2023-07-02,11061
2023-07-09,8959
2023-07-16,10917
2023-07-23,15771
2023-07-30,21989
2023-08-06,28422
2023-08-13,27028
2023-08-20,24685
2023-08-27,26629
2023-09-03,29704
2023-09-10,28991
2023-09-17,28921
2023-09-24,30265
2023-10-01,34209
2023-10-08,37530
2023-10-15,36153
2023-10-22,33805
2023-10-29,30917
2023-11-05,29929
2023-11-12,31989
2023-11-19,31076
2023-11-26,28217
2023-12-03,26115
2023-12-10,20166
2023-12-17,16145
2023-12-24,12938
2023-12-31,9879
2024-01-07,8825
2024-01-14,7881
2024-01-21,7513
2024-01-28,7508
2024-02-04,7850
2024-02-11,7672
2024-02-18,7308
2024-02-25,7496
2024-03-03,11103
2024-03-10,29425
2024-03-17,40278
2024-03-24,26488
2024-03-31,25156
2024-04-07,28865
2024-04-14,35993
2024-04-21,41955
2024-04-28,44710
2024-05-05,44585
2024-05-12,53727
2024-05-19,40155
2024-05-26,32164
2024-06-02,31087
2024-06-09,23270
2024-06-16,15297
2024-06-23,11337
2024-06-30,8802
2024-07-07,11846
2024-07-14,16325
2024-07-21,25670
2024-07-28,31687
2024-08-04,29665
2024-08-11,29074
2024-08-18,33380
2024-08-25,33374
2024-09-01,34460
2024-09-08,32542
2024-09-15,25704
2024-09-22,28994
2024-09-29,29253
2024-10-06,33087
2024-10-13,35378
2024-10-20,33574
2024-10-27,29256
2024-11-03,29380
2024-11-10,30618
2024-11-17,32311
2024-11-24,31567
2024-12-01,30427
2024-12-08,22256
2024-12-15,15144
2024-12-22,10863
2024-12-29,8717
2025-01-05,6823
2025-01-12,5986
2025-01-19,5234
2025-01-26,4930
2025-02-02,4931
2025-02-09,4924
2025-02-16,5251
2025-02-23,5416
2025-03-02,7293
2025-03-09,21624
2025-03-16,36563
2025-03-23,28965
2025-03-30,24166
2025-04-06,26457
2025-04-13,29536
2025-04-20,31056
2025-04-27,32315
2025-05-04,29754
2025-05-11,33126
2025-05-18,33521
2025-05-25,30301
2025-06-01,30472
2025-06-08,28807
2025-06-15,19854
2025-06-22,14097
2025-06-29,9612
2025-07-06,11356
2025-07-13,17588
2025-07-20,26312
2025-07-27,29757
2025-08-03,30736
2025-08-10,30961
2025-08-17,30452
2025-08-24,29959
2025-08-31,29983
2025-09-07,29652
2025-09-14,21508
2025-09-21,23241
2025-09-28,26292
2025-10-05,32998
2025-10-12,34663
2025-10-19,36086
2025-10-26,34497
2025-11-02,33057
2025-11-09,32575
2025-11-16,30011
2025-11-23,26036
2025-11-30,22118
2025-12-07,16193
2025-12-14,11669
2025-12-21,9000
2025-12-28,4537
